Employee Name,Employee ID Number,Department,Title,Directory URL
Michael T. McKay,6,7th District Court (Paw Paw),7th District Court Judge - Paw Paw,https://www.vanburencountymi.gov/directory.aspx?EID=6
Arthur H. Clarke III,7,7th District Court (South Haven),7th District Court Judge - South Haven,https://www.vanburencountymi.gov/directory.aspx?EID=7
Ryan Smith,8,7th District Court (Paw Paw),District Court Administrator,https://www.vanburencountymi.gov/directory.aspx?EID=8
James R. Becker,9,7th District Court (Paw Paw),Magistrate,https://www.vanburencountymi.gov/directory.aspx?EID=9
Susan Klein,10,7th District Court (Paw Paw),Judicial Assistant,https://www.vanburencountymi.gov/directory.aspx?EID=10
Carmen Frattura,11,Probation Services (East),Adult Probation Officer,https://www.vanburencountymi.gov/directory.aspx?EID=11
David Hill,13,Probation Services (West),Adult Probation Officer,https://www.vanburencountymi.gov/directory.aspx?EID=13
Shelly Sonnevil,14,Probation Services (East),Probation Secretary,https://www.vanburencountymi.gov/directory.aspx?EID=14
Florencia Jackson,15,Probation Services (West),Probation Secretary,https://www.vanburencountymi.gov/directory.aspx?EID=15
Kathleen M. Brickley,16,36th Circuit Court Staff,Judge,https://www.vanburencountymi.gov/directory.aspx?EID=16
Susan Metzger,17,36th Circuit Court Staff,Judge,https://www.vanburencountymi.gov/directory.aspx?EID=17
Natalie Dean,18,36th Circuit Court Staff,Trial Court Administrator,https://www.vanburencountymi.gov/directory.aspx?EID=18
Melissa Williams,19,36th Circuit Court Staff,Judicial Assistant to Judge Brickley,https://www.vanburencountymi.gov/directory.aspx?EID=19
Mary Schmitt,20,36th Circuit Court Staff,Judicial Assistant to Judge Dufon,https://www.vanburencountymi.gov/directory.aspx?EID=20
Kelly Cowgill,21,36th Circuit Court Staff,Judicial Assistant to Judge Metzger,https://www.vanburencountymi.gov/directory.aspx?EID=21
Heidi Winkler,22,36th Circuit Court Staff,Court Services Coordinator,https://www.vanburencountymi.gov/directory.aspx?EID=22
Jeffrey J. Dufon,23,36th Circuit Court Staff,Judge,https://www.vanburencountymi.gov/directory.aspx?EID=23
Veronica Stillson,24,Friend of the Court,Friend of the Court,https://www.vanburencountymi.gov/directory.aspx?EID=24
Alice Yonkman,25,Friend of the Court,Deputy Friend of the Court,https://www.vanburencountymi.gov/directory.aspx?EID=25
Lynda Pioch,26,Friend of the Court,Attorney Referee,https://www.vanburencountymi.gov/directory.aspx?EID=26
Joseph Hohler III,28,Friend of the Court,Attorney Referee,https://www.vanburencountymi.gov/directory.aspx?EID=28
Theresa Szakas,29,Establishment,Office Attorney,https://www.vanburencountymi.gov/directory.aspx?EID=29
Abbie Jones-VanHeukelum,30,Establishment,Legal Assistant,https://www.vanburencountymi.gov/directory.aspx?EID=30
Abel Munoz,31,Friend of the Court,Early Intervention Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=31
Aaron Rosecrans,32,Custody & Parenting Time,Custody/Parenting Time Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=32
Stephanie Peters,33,Medical Support,Medical Support Specialist,https://www.vanburencountymi.gov/directory.aspx?EID=33
Heather Stately,34,Support Enforcement,Review & Modification Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=34
Amanda Hoefle,35,Support Enforcement,Interstate Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=35
Lisa Kissinger,36,Support Enforcement,Child Support Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=36
Rebecca Bogren,37,Support Enforcement,Child Support Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=37
Martha Moore,38,Support Enforcement,Child Support Case Manager,https://www.vanburencountymi.gov/directory.aspx?EID=38
Ann Fry,39,Support Enforcement,"Support Specialist (F, G, H, J, K, O, Q)",https://www.vanburencountymi.gov/directory.aspx?EID=39
Tammy Beam,40,Support Enforcement,"Support Specialist (I, L, M, P, R, Z)",https://www.vanburencountymi.gov/directory.aspx?EID=40
Jonique Shipley,41,Support Enforcement,"Support Specialist (A, B, C, D, E, Y)",https://www.vanburencountymi.gov/directory.aspx?EID=41
Lisa Budzyn,42,Support Enforcement,"Support Specialist (N, S, T, U, V, W, X)",https://www.vanburencountymi.gov/directory.aspx?EID=42
Anthony Massura,43,Warrant Officer,Warrant Officer,https://www.vanburencountymi.gov/directory.aspx?EID=43
Greg Dean,45,Friend of the Court,Front Office Customer Service and Specialist Clerk,https://www.vanburencountymi.gov/directory.aspx?EID=45
Erin Diamond,46,Accounting Department,Account Specialist I,https://www.vanburencountymi.gov/directory.aspx?EID=46
Mark Graham,47,Accounting Department,Local Project Coordinator,https://www.vanburencountymi.gov/directory.aspx?EID=47
Kristine Deaner,48,Accounting Department,Account Specialist III,https://www.vanburencountymi.gov/directory.aspx?EID=48
Daniel Abbott,49,Sheriff's Office,SheriffContact Sheriff Daniel Abbott,https://www.vanburencountymi.gov/directory.aspx?EID=49
Chad Hunt,52,Corrections Division,Lieutenant- Corrections Administrator,https://www.vanburencountymi.gov/directory.aspx?EID=52
Greg Pentland,53,Uniform Response Division,Sergeant,https://www.vanburencountymi.gov/directory.aspx?EID=53
