First Name,Last Name,Department,Title,Employee ID Number,Directory URL
John,Faul,Administration,County Administrator,215,https://www.vanburencountymi.gov/directory.aspx?EID=215
Emani,Tunstall,Administration,Executive Assistant,223,https://www.vanburencountymi.gov/directory.aspx?EID=223
Kurt,Doroh,Board of Commissioners,County Commissioner,107,https://www.vanburencountymi.gov/directory.aspx?EID=107
Richard,Godfrey,Board of Commissioners,County Commissioner,108,https://www.vanburencountymi.gov/directory.aspx?EID=108
Gail,Patterson-Gladney,Board of Commissioners,County Commissioner,106,https://www.vanburencountymi.gov/directory.aspx?EID=106
Randall,Peat,Board of Commissioners,County Commissioner,110,https://www.vanburencountymi.gov/directory.aspx?EID=110
Paul,Schincariol,Board of Commissioners,County Commissioner,112,https://www.vanburencountymi.gov/directory.aspx?EID=112
John,Small,Buildings & Grounds,Buildings & Grounds Director,222,https://www.vanburencountymi.gov/directory.aspx?EID=222
Kathleen,Brickley,Circuit Court,Chief Judge,16,https://www.vanburencountymi.gov/directory.aspx?EID=16
Natalie,Dean,Circuit Court,Trial Court Administrator,18,https://www.vanburencountymi.gov/directory.aspx?EID=18
George,Reeder,Circuit Court,Trial Court Administrative Assistant,154,https://www.vanburencountymi.gov/directory.aspx?EID=154
Mary,Schmitt,Circuit Court,Judicial Assistant,20,https://www.vanburencountymi.gov/directory.aspx?EID=20
Melissa,Williams,Circuit Court,Judicial Assistant,19,https://www.vanburencountymi.gov/directory.aspx?EID=19
Heidi,Winkler,Circuit Court,Court Services Coordinator,22,https://www.vanburencountymi.gov/directory.aspx?EID=22
Chad,Hunt,Corrections,Jail Administrator Lieutenant,52,https://www.vanburencountymi.gov/directory.aspx?EID=52
Kyle,Romeo,Detective Unit,Detective Sergeant,87,https://www.vanburencountymi.gov/directory.aspx?EID=87
Miriam,Sipes,Detective Unit,Detective,233,https://www.vanburencountymi.gov/directory.aspx?EID=233
James,Becker,District Court,Attorney Magistrate,9,https://www.vanburencountymi.gov/directory.aspx?EID=9
Arthur,Clarke,District Court,Judge,7,https://www.vanburencountymi.gov/directory.aspx?EID=7
Carmen,Frattura,District Court,Probation Officer,11,https://www.vanburencountymi.gov/directory.aspx?EID=11
Michael,McKay,District Court,Judge,6,https://www.vanburencountymi.gov/directory.aspx?EID=6
Ryan,Smith,District Court,District Court Administrator,8,https://www.vanburencountymi.gov/directory.aspx?EID=8
Georgia,Genis,Drain Commission,Deputy Drain Commissioner,127,https://www.vanburencountymi.gov/directory.aspx?EID=127
Joshua,Griffith,Drain Commission,Chief Deputy Drain Commissioner,231,https://www.vanburencountymi.gov/directory.aspx?EID=231
Derek,Weldon,Emergency Management,Emergency Management Assistant Coordinator,80,https://www.vanburencountymi.gov/directory.aspx?EID=80
Michelle,Bogda,Finance,Finance & Administration Specialist,232,https://www.vanburencountymi.gov/directory.aspx?EID=232
Rebekka,Garvison,Finance,Finance Operations Manager,212,https://www.vanburencountymi.gov/directory.aspx?EID=212
Rebecca,Grabemeyer,Finance,Finance Director,235,https://www.vanburencountymi.gov/directory.aspx?EID=235
Rebecca,Bogren,Friend of the Court,Support Enforcement Officer,37,https://www.vanburencountymi.gov/directory.aspx?EID=37
Lisa,Budzyn,Friend of the Court,Customer Service Specialist,42,https://www.vanburencountymi.gov/directory.aspx?EID=42
Kristine,Deaner,Friend of the Court,Account Specialist III,48,https://www.vanburencountymi.gov/directory.aspx?EID=48
Ann,Fry,Friend of the Court,Lead Customer Service Specialist,39,https://www.vanburencountymi.gov/directory.aspx?EID=39
Mark,Graham,Friend of the Court,Local Project Coordinator,47,https://www.vanburencountymi.gov/directory.aspx?EID=47
Amanda,Hoefle,Friend of the Court,Support Enforcement Officer,35,https://www.vanburencountymi.gov/directory.aspx?EID=35
Joseph,Hohler,Friend of the Court,Court,28,https://www.vanburencountymi.gov/directory.aspx?EID=28
Abbie,Jones-VanHeukelum,Friend of the Court,Legal Assistant,30,https://www.vanburencountymi.gov/directory.aspx?EID=30
Lisa,Kissinger,Friend of the Court,Support Enforcement Officer,36,https://www.vanburencountymi.gov/directory.aspx?EID=36
